"Name","Area","Density","Population","Lat","Lng","log","logM","sqrtM","sqrt"
"Harlow",30.54,2822.43,86191,51.76613998,0.103888,7.94535349500768,5.76946605505959,50.158382620367,53.1265470362981
"Harrogate",1307.95,122.36,160044,54.07707977,-1.58160996,4.8069675192827,2.63108007933461,8.0934810312887,11.0616454472199
"Harrow",50.46,4931.89,248880,51.59466934,-0.33603001,8.50347756071029,6.3275901207622,67.2592518828335,70.2274162987647
"Hart",215.27,443.48,95465,51.28197098,-0.88321,6.09465270490415,3.91876526495606,18.0908004209263,21.0589648368575
"Hartlepool",93.56,994.22,93019,54.67615891,-1.27023005,6.90195851013496,4.72607107018687,28.5630899200447,31.5312543359759
"Hastings",29.72,3122.48,92813,50.8676796,0.57942897,8.04638283685512,5.87049539690703,52.910990910541,55.8791553264721
"Havant",55.37,2258.58,125065,50.87229919,-1.00399995,7.72249157620742,5.54660413625933,44.5563555711239,47.5245199870551
"Havering",112.35,2278.95,256039,51.56518936,0.235368,7.73147008955789,5.5555826496098,44.770184948076,47.7383493640071
"Herefordshire, County of",2179.71,87.65,191041,52.08153915,-2.73931003,4.47335161136724,2.29746417141916,6.39399345498727,9.36215787091844
"Hertsmere",101.13,1028.71,104031,51.68016815,-0.26899001,6.93606086909683,4.76017342914874,29.1053449025079,32.0735093184391
"High Peak",539.14,170.76,92063,53.38568878,-1.84397995,5.14025906188976,2.96437162194167,10.0993525632045,13.0675169791357
"Highland",25657.15,9.17,235180,57.586689,-4.66091013,2.21593728626837,0.0400498463202852,0.0600363700141777,3.02820078594534
"Hillingdon",115.7,2613.16,302343,51.53662872,-0.44182,7.86831549594603,5.69242805599794,48.1509122580464,51.1190766739776
"Hinckley and Bosworth",297.35,374.54,111370,52.60876846,-1.41754997,5.92569860633236,3.74981116638427,16.3848715216162,19.3530359375474
"Horsham",530.27,264.28,140142,51.00270844,-0.38123,5.57700914716168,3.4011217072136,13.2885265142674,16.2566909301986
"Hounslow",55.98,4807.25,269100,51.46242905,-0.37843999,8.4778804740307,6.30199303408261,66.3661705127317,69.3343349286629
"Huntingdonshire",906.18,195.3,176979,52.35316849,-0.22466999,5.27453683788263,3.09864939793454,11.0068132226914,13.9749776386225
"Hyndburn",73,1101.55,80410,53.75648117,-2.38964009,7.00447355785857,4.82858611791049,30.2214423910197,33.1896068069509
"Inverclyde",160.45,490.87,78760,55.90034866,-4.75387001,6.19617932695376,4.02029188700567,19.1874217871012,22.1555862030324
"Ipswich",39.52,3503.83,138480,52.05791855,1.16326702,8.16161193489761,5.98572449494952,56.2249939725178,59.1931583884489
"Isle of Anglesey",711.31,98.12,69794,53.27944946,-4.32290983,4.58619121939029,2.4103037794422,6.93738958170067,9.90555399763183
"Isle of Wight",380.16,370.85,140984,50.67129898,-1.33361995,5.91579766818257,3.73991022823448,16.2893016686813,19.2574660846125
"Isles of Scilly",16.34,138.27,2259,49.92332077,-6.3021698,4.92920829540053,2.75332085545244,8.79066205612802,11.7588264720592
"Islington",14.86,15817.99,235000,51.54547882,-0.10992,9.66890317888799,7.4930157389399,122.801426503337,125.769590919268
"Kensington and Chelsea",12.12,12845.89,155741,51.49644089,-0.18976,9.46077919480427,7.28489175485618,110.371546188958,113.339710604889
"Kettering",233.49,429.36,100252,52.43722916,-0.76773,6.06229572786857,3.88640828792049,17.7528394207559,20.7210038366871
"King's Lynn and West Norfolk",1438.84,105.6,151945,52.71282959,0.53325802,4.65965837127216,2.48377093132407,7.30802164700094,10.2761860629321
"Kingston upon Hull, City of",71.45,3648.34,260673,53.76979065,-0.30379999,8.20202754860559,6.02614010865751,57.4333256319145,60.4014900478457
"Kingston upon Thames",37.26,4686.08,174609,51.39295959,-0.28367001,8.45235169105176,6.27646425110367,65.4867842729693,68.4549486889005
"Kirklees",408.55,1069.99,437145,53.64233017,-1.78085005,6.97540458161789,4.7995171416698,29.7425371968438,32.710701612775
"Knowsley",86.5,1717.45,148560,53.43788147,-2.8329699,7.44859591159123,5.27270847164314,38.4739639077928,41.4421283237239
"Lambeth",26.81,12086.79,324048,51.46442032,-0.11385,9.3998683996703,7.22398095972222,106.971773732132,109.939938148063
"Lancaster",576.22,247.28,142487,54.07901001,-2.66030002,5.51052129782386,3.33463385787577,12.7569746931515,15.7251391090826
"Leeds",551.71,1422.58,784846,53.82273102,-1.50735998,7.26022740343495,5.08433996348686,34.7489404570572,37.7171048729883
"Leicester",73.34,4820.42,353540,52.63592148,-1.13039994,8.4806163401779,6.30472890022982,66.4610801428281,69.4292445587592
"Lewes",292.06,350.12,102257,50.83340836,0.007671,5.85827595286424,3.68238851291615,15.7433293779913,18.7114937939225
"Lewisham",35.15,8572.33,301307,51.44231033,-0.01733,9.05629485328597,6.88040741333788,89.6187137040271,92.5868781199582
"Lichfield",331.29,312.43,103507,52.69615173,-1.76048994,5.74438044408471,3.56849300413662,14.7075251038584,17.6756895197896
"Lincoln",35.69,2758.12,98438,53.21921158,-0.55848002,7.92230456719643,5.74641712724834,49.549642088149,52.5178065040801
"Lisburn and Castlereagh",505.79,282.02,142640,54.49752045,-6.03544998,5.64197799040908,3.466090550461,13.8252866885917,16.7934511045229
"Liverpool",111.84,4395.28,491549,53.40829849,-2.91364002,8.38828651684991,6.21239907690183,63.328743505932,66.2969079218631
"Luton",43.35,4951.46,214658,51.89102173,-0.42319,8.50743776156864,6.33155032162055,67.3984469846472,70.3666114005783
"Maidstone",393.33,426.43,167730,51.23566055,0.58406103,6.05544822684953,3.87956078690144,17.6820171813333,20.6501815972645
"Maldon",358.68,178.36,63975,51.77571106,0.773857,5.18380397975928,3.00791653981119,10.3869844039061,13.3551488198372
"Malvern Hills",577.07,133.72,77165,52.16757965,-2.33088994,4.8957480615519,2.71986062160381,8.59557200444785,11.563736420379
"Manchester",115.65,4716.88,545501,53.47008896,-2.23358989,8.45890284306242,6.28301540311433,65.7113813018442,68.6795457177754
"Mansfield",76.7,1415.65,108576,53.16703033,-1.17804003,7.25534406855961,5.07945662861152,34.6569601685802,37.6251245845113
"Medway",193.54,1434.41,277616,51.44770813,0.563173,7.26850889382267,5.09262145387459,34.9054411689613,37.8736055848925
"Melton",481.38,105.68,50873,52.80329132,-0.85439998,4.66041566021407,2.48452822026598,7.31191340478595,10.2800778207171
"Mendip",739.44,153.51,113513,51.19475937,-2.54177999,5.03376571148511,2.85787827153702,9.4217508380163,12.3899152539475
"Merthyr Tydfil",111.45,537.95,59953,51.74858093,-3.36424994,6.28776561903992,4.11187817909183,20.2255847419777,23.1937491579089
"Merton",37.62,5476.49,206052,51.41056824,-0.18866999,8.60821966377839,6.4323322238303,71.035146320819,74.0033107367502
"Mid and East Antrim",1059.21,130.43,138152,54.86462021,-6.14645004,4.87083668438219,2.6949492444341,8.45243101513109,11.4205954310623
"Mid Devon",912.9,88.32,80623,50.86882019,-3.59211993,4.48096658252878,2.3050791425807,6.42970768364542,9.39787209957658
"Mid Suffolk",871.07,116.57,101543,52.21858978,1.09695303,4.75849195093174,2.58260451098365,7.82859435695989,10.7967587728911
"Mid Sussex",334.03,444.11,148345,51.05952835,-0.10272,6.09607227949557,3.92018483954748,18.1057531126158,21.073917528547
"Mid Ulster",1831.34,79.96,146427,54.55273056,-6.8888998,4.3815265096322,2.20563906968411,5.9738711465121,8.94203556244326
"Middlesbrough",53.89,2609.8,140639,54.5446701,-1.21098995,7.86702886902815,5.69114142908006,48.1180372436168,51.086201659548
"Midlothian",353.68,254.72,90090,55.82110977,-3.1173799,5.54016490265602,3.36427746270793,12.9917854586768,15.959949874608
